text,true_label,predicted_label
if we can't win back the once great republican party.,1,1
does that mean you won't go to the convention and won't stand for the party's nominee?,1,0
my mom and i saw you on hannity and thought you were fantastic.,1,1
senator isakson - the best thing you can do for obamacare is - vote to defund it!!!!,1,1
no plan nothing we are going to have to wait till he is out of office,1,1
someone who actually is going to do something anything for we the people!,1,1
no we do not believe it is good!!!,1,1
"""i do think that in all of government, he is a man of integrity and honesty,"" he said of comey during a june 6 appearance on fox news' ""outnumbered.""",1,1
"he will continue to lie to americans, he is destroying our country, and congress is allowing it.",1,1
fox is the only conservative media that really does expose the reality of what is going on in dc.,1,1
"i also really hope you will support congresswoman mia love's, ""one subject at a time"" bill.",1,0
hundreds were released from gitmo including some that were later involved with the attacks of 9 / 11.,1,1
obama would like nothing better than us all on our knees dependent on him and this administration.,1,1
thanke trey gowdy,1,1
please do not send our troops over!,1,1
"the president is traitorous in his actions, and he has tried to singlehandedly curtail american exceptionalism.",1,1
the house needs to come together and remove john boehner.,1,1
no foreign aid to any countries because that money is needed right here.,1,1
"you are the govt, we elected you, do something",1,1
there needs to be additional border patrol officers at the borders,1,1
our conservative representatives should refuse to be a part of this!!,1,1
"thanks for all your hard work in dc tom, but just like alot of people in this country, they are all looking for a free ride.",1,1
"get real and get honest, we need massive cuts to government spending",1,1
"you are a sucker too, tom.",1,1
scott pruitt's selection to head the very agency he has sought to destroy is simply insane.,1,1
"the budget has been approved, raising the ceiling doesn't mean we are spending more money.",1,1
i know that chambliss is not.,1,1
you are a warrior of liberty!,1,1
the lies that are being told by this administration are astounding.,1,0
thank goodness because that bill would have further destroyed our military!,1,1
why was the first thing on your agenda to get rid of your ethics oversight committee??,1,0
"our great republic is going down the crapper, and they are not stopping this.",1,1
"support cruz, mc shame!!!!",1,1
this thing about the debt cealing is a ruse to the real problem of republicans being obstrutive.,1,0
rand paul may be the only person in congress who understands what is the problem.,1,1
"yes negotiate with illegals, terrorists and socialist lobbyists..... yes i am sure she would be the negotiator.",1,1
"are you talking about things like that pesky aca that keeps your poorest, sickest, and, most neglected constitutes alive???",1,0
prove you aren't spineless like the majority!,1,1
congress should investigate that and eric holder with a special prosecutor.,1,0
"trey gowdy is a pretty good actor, his term should be about finished i hope!!",1,1
"semper fi, sir.",1,1
stop with the amnesty.,1,1
thanks rep. blaine luetkemeyer!,1,1
our president has laid off more military than anyone ever before....,1,1
well first of all it isn't true that there are only supporters of mrs. blackburn.,1,1
"how about instead of ""calling"" it repeal and replace, we call it ""fix what's wrong, keep what's ok"".",1,1
"lets get rid of all of them and start fresh with people who have actually worked for a living, paid their bills, have lived within a budget and have common sense!",1,1
"if you don't find a way to end obamacare and give relief to struggling american families, this will be the end of the gop!",1,1
all this guy tom does is bitch about obama on facebook.. he is like an obsessed 14 year old girl.,1,1
you are not alone sir!,1,0
i am confused that so many believe the media who said you were voting with mccain on our 2nd ammendment.... don't we all know that the media is are liers?,1,1
they could have saved our country!,1,1
i don't know really unsure of this guy now he's showed he's definitely typical establishment,1,0
obama will close gitmo and give the base to cuba and no one is stopping him!!!,1,0
"however, hillary can be at least somewhat kept in check without completely shredding the conservative principles.",1,0
"the management by the cdc is so bad, so unprofessional... even obama kissed the infected nurses.... he might end up with this virus.... obama is out of control, but can you even think what will happen if biden is in control?",1,0
"i like rand and back him 100%, but ""win""?",1,1
everything is less intrusive without the feds in charge.,1,1
"if this is one nation under god then that means that our constitution and laws are under him and it is his word, the bible, that is to be used for interpretation and administration of those rights and laws.",1,1
all the more reason to impeach him.,1,1
i would love to know why we send them foreign aid at all when our own national debt is atrocious!,1,1
absolutely correct!,1,0
"the tell me ben, why didn't you support the one candidate who has spent his adult life defending the document in which you swore to uphold?!",1,1
time to move on marco.,1,1
"so rep mcclintock, what do you see as ""wasteful spending"" in the ominibus bill?",1,1
so you are planning to repeal with no suitable replacement.,1,1
a constitutional convention - this is a good way to do that.,1,1
its the only way to increase like minds towards limited constitutional government in my opinion.,1,1
delete your account and resign,1,1
if he is a conggressmen he should be impeached.,1,1
thought you supported cruz you are a true politician flip flop and i like you but not your typical politics,1,1
i know some will respond that tax increases are the answer.,1,0
this was nothing more than a power grab by rinos.,1,1
"obama is probably the only one that thinks obamacare is great, we didn't need it, it's trash.",1,0
"i stand with rand because he is the only one with solid and sound principles, and the only one i can trust.",1,1
i don't understand this stem act rand.,1,0
the people that need a hand up can't get it and the people that want handouts is given to them freely with no problem..,1,0
write in cruz.,1,1
"obama is no leader, and i wouldn't trust him to lead an army of ants.",1,0
"i would like him to admit that he is a fraud and a felon, and that the last 4 yrs have been a big joke on the american people.",1,1
as far as rinos go?,1,1
secure the borders and stop amnesty!,1,1
"you may rest assured, sir, that we will not forget when next you stand for election.",1,0
"i have supported you but you showed today that was a major mistake, you have no plans to defend the constitution as you swore an oath to do.",1,0
well.. based on prior track record... he'll pass it himself... bypassing congress altogether since he's not getting his way...,1,1
"— thomas jefferson, 3rd u.s. president and drafter of the declaration of independence.",1,0
we haven't seen obama take responsibility yet after 6 years of wh occupation & 6 serious scandals.,1,0
this country is broke!,1,1
how about getting the 2 billion obama just gave them back!?,1,0
"as senator mccain said about you, cathy, among others, ""this is one of the most shameful chapters"" he's seen in government--you go spin this however your people tell you to (as usual) but 24 billion dollars wasted speaks a lot louder.",1,1
when are we going to impeash and imprison obama for treason.,1,1
trey is the best choice in my eyes..,1,1
major kudos mr. mccain and mr. graham.,1,1
"george bush, he didn't take the crap that's going on like that pathetic man in the white house",1,1
you and the rest of the rino's are the deplorables.,1,1
"it is time, we have tried the two party system they are corrupt it no longer works.",1,0
i'm starting to think you are not mentally balanced,1,1
put down the ayn rand and the koolaid and wake up to the way things are for the majority of women in this nation.,1,0
so when are you going to start impeachment proceedings.,1,1
i am out of state here and i want to help rand paul win.,1,1
"robert, you see, unlike you and fred, i'm willing to quote hs question and my answer to it, regardless of it being an irrelevant question.",1,0
shame on you fred.,1,1
"how about a memorial for the benghazi heros, while their families are still alive to appreciate it? while the country can still remeber their names, while obama can still be impeached?",1,1
"senator, earlier you stated that you were still looking for a balanced approach to raising the debt limit, please explian this!!!!!!!!",1,0
it's time for real leaders like rand paul and ted cruz to take over.,1,1
"wish i could believe you, but you say something and do another, lindsey.",1,1
"7 years late, but better late than never.. close gitmo!",1,0
i think tim is a very nice well spoken man.,1,0
rand is refreshing!,1,1
why can't anything be done to stop this and the to impeach obama.!!,1,1
harry reid gone would help.,1,0
is jerry taking credit for something he didn't have anything to do with?,1,0
"mr scott - as your consituent, i fully support universal background checks on all gun purchases.",1,0
sure but don't let obama off for treason in benghazi,1,1
"have a great day, james and be safe!",1,0
"but remember those evil conservatives like ted cruz, mike lee, tim scott & a few other ""good men"" were demonized because they dared to stand the peoles ground ""& the"" others ""forced a shut down of the government.",1,0
obamacare needs to be defunded and our boarders secured!,1,1
"send all of them back where they came from, i will not support any amnesty to this illegal immigrats!!",1,1
lead the way but we will have to get rid of harry reid to get any bills to the senate.,1,1
"senator mccain, need you to save our country.",1,1
that he will close down the internet and go play golf.,1,1
"yay, bruce!",1,0
what next are yall going to blame when that one person who had praying taken out of schools and we can't pray like god wants us to because we mite hurt some ones fillings.,1,1
i supported you i pray you will be a conservative.,1,1
"have you done anything to move the immigration issue forward, toward a solution?",1,0
"unfortunately, holder and bo are proven liars so no matter what they say, their actions will be contrary.",1,0
"to afford spending, we need much higher taxes.",1,0
it is my hope with republicans now having majority of senate and house that we will begin to see change for the good of the people.,1,1
"chambliss isn't running again so it doesn't matter to him, but you can bet i'll never vote for isakson again -- not even for dog catcher.",1,1
protect our money rand.,1,1
they should stop sending this kind of equipment to all countries due to the fact we just turn around and have to put our soldiers up against them later!!!!!!!!,1,1
"james, i worked at falls creek on the rec team the first year you took over, and i knew good changes were in store for the camp.",1,0
never thought i'd say this but i agree with rubio.,1,1
reagan the deficit increased by three times and he was able to get 17 clean debt ceiling increases yet you and the house are still acting like children who have been scolded when the current president asks for one clean resolution.,1,1
"bob, is it not true that the constitution forbids the federal government from ""personal"" business of the people and that this power resides with the states exclusively?",1,0
it is obvious that our enemies are becoming more numerous every day!,1,1
they were god's people so god allowed them to win and take back the land god had promised to abraham.,1,0
republicans continue to cave.,1,1
obama speaks nothing but lies!,1,0
"mr. obama is a politician, nothing else.",1,0
you can bet that these monsters from the tennessee walking horse association and the vampires from the insurance industry are at the top of the list.,1,1
"we must put back into balance the precious powers of state and get our president to back off his high horse and ride with the rest of us, or resign or be impeached!",1,1
"war is a lie, sir.",1,0
well now we know and everything that obama and his gng said were lie's.,1,0
"abolish the dea, replace it with absolutely nothing.",1,1
here's to standing with integrity and standing with rand paul.,1,1
pointing out that mccain is a loathsome human being doesnt dishonor anyone else.,1,0
obama is creating a country just for illegal aliens right in the middle of the u.s.a. you need to listen to this: -------------------------------------------------------------------------------------------- https: / / www.youtube.com / watch? v = mrfvlro8kms ---------------------------------------------------------------------------------------- contact boehner.,1,1
you're violating the constitution and committing treason.,1,1
"greg, we know you are lying.",1,1
not even marco rubio!!,1,1
"no matter what we say or want they won't listen,, never have never will,, shame on them",1,0
"we have the nypd, good fbi agents, our military to step in and save our country from this administration.",1,1
every honest conservative and libertarian should be aganist keystone: http: / / dailyreckoning.com / why-you-should-oppose-the-keystone-xl-pipeline /,1,1
"rep scott, i was honored to meet you at the iron sharpens iron convention.",1,0
i'm letting ted nuget take my place,1,1
"i wonder john mccain, if you knew how to run a campaign, what you would have done differently if you had to take over the bush mess?",1,1
you are trying to get a lot of aerospace jobs to move to oklahoma.,1,1
please run against lindsey graham.,1,1
now defund obamacare,1,1
well rand stupid is (mccain) as stupid does (graham).,1,1
stop paying the irs,1,1
no one stopped him...,1,1
"mia, you're going to make it this time.",1,0
": you, mcmillan and mccain meeting with al-bahgdadi, isis leader.",1,1
"obama needs some ""bumps"" on his little noggin head...!",1,1
"we don't want any new federal taxes, we would like to see lower taxes and less federal spending, to jump start the economy.like ross perot used to say.. its so,, simple.. look at this chart:.. sinplesimple... http: / / www.politico.com / multimedia / video / 2013 / 03 / lindsey-graham-on-dinner-with-president-obama.html",1,1
honor your oath to protect and defend our constitution against all enemies foreign and domestic!!!,1,1
we wanted boehner voted out of his speakership.,1,1
"if jimmy carter had done this 35 years ago cuba would be a ""normal"" country.",1,0
keep on keepin on mia love.,1,1
"please dr. scott, when the opportunity presents demand a copy of the actual expenditures to the budget to see if monies were actually spent to serve the vets.",1,0
we know that obamacare is killing jobs all across the country.,1,1
"charlotte lamb was the state department security chief who resigned dec.18, 2012 over lack of security in benghazi.",1,0
the congress couldn't do their job.. now it's obama's fault.,1,0
he is doing exactly what he wants and getting away with it.,1,1
i am contacting to urge you to pass a separate job bill within the senate asap that will ensure boehner brings up the eui bill in the house for a vote.,1,1
tax our internet like cuba & we will only get what the government wants us to get!,1,1
congressman lamborn please find away to get the u.s. on track to energy independence.,1,1
you said you would support the nominee no matter who it was.,1,0
we don't trust obama.,1,0
don't rationalize your poor excuse for funding dhs we all know the truth and the minimal impacts would have been to homeland security - virtually none!!,1,1
the sierra club is a conservative organization.,1,1
"please defund it, obamacare is going to hurt everybody please do what you can---- help us",1,1
and a merry christmas to you and your family mr gowdy god bless,1,0
go campaign for your rino buddy.,1,1
"oh for pete's sakes, do any of you realize we lost because our own republican party turned their backs on the ron paul supporters.",1,1
"he is trying to get some (right wing) americans so upset that they will b = rebel so he can declare marshal law and then take over all transportation, utilities farms, mediine, everything and declare himself the dictator.",1,1
which republican will stop this tyrant?,1,1
option b yes!,1,0
trey gowdy america loves you you make us proud merry christmas 🎄 🎁 🇺 🇸,1,1
when will any details of the possible replace be shared with the american people?,1,1
"i don't think most people understand why the military has its traditions and values, to each other and god!",1,1
they have no love.,1,0
nothing can stop what we are forced to endure now.,1,0
this country has a spending problem and a giveaway problem.,1,1
"of course you would, you enjoy government funded healthcare paid by me and all the other tax payers.",1,0
"we support you, marco!",1,1
fred is taking his 11% approval rating for a spin here.,1,1
"as god said james 4: 11-12 - speak not evil one of another, brethren.",1,0
"then give 100% to ""dealing with the immigration problem and resolveing it with the presidents full suport"", an all will be well if that's the true correction an added saveings to our financial debt??",1,1
the government is sucking the life out of us second class tax payers.,1,1
sasse is a tool.,1,1
inhofe and coburn need to be voted out.,1,1
"as required, the u.s. congress will execute appropriate legislation to convene new elections or u.s. states will appoint replacements for positions vacated consistent with established constitutional requirements.",1,0
"we need to stay out of it, and start taking care of our own people here, quit giving aide to people who disrespect us!!",1,1
you can't disgrace the smug s o b,1,1
jerry what's congress doing about the fast and furious fiasco?,1,1
"""any other outcome is a danger to economic growth, puts our national security in peril, enshrines obamacare as the law of the land, entraps americans in a cycle of poverty and dependence, and undermines our constitutional republic.""",1,1
and no more money to people coming into our country give it to the vets that protect america.,1,1
have to balance the budget without the use of tax increases.,1,1
undoubtedly the most princabled politician out there a true patriot,1,1
cut spending and cut revenue.,1,1
read the news reports not fox,1,0
"this claptrap is wholly antithetical to the u.s. constitution and if you actually believe it then you will not be a strict constitutionalist, just another whiny little pissant who wants it's own way waaaaaa.",1,0
"the republicans should have been pounding the strees in their districts educating the public on what was going to go down with the debt ceiling, obamacare etc.",1,0
"when the list of organizations ""intimidated"" by the irs is made public, then - and only then - can accusations of harrassment be made.",1,1
kim allen south carolina.,1,0
betsy devos is simply not qualified to lead our public schools.,1,1
and where was the outcry when the republican house cut state's funding for embassy security by $559 million in 2011 and 2012?,1,1
the citizens who pay your salary desire a unified republican party.,1,1
"yeah, vern.",1,0
isnt it interesting that everyone wanrts to separate church and state until it comes to social programs... the church was tasked to take care of people not the government,1,1
"whoever the rebublican nominee is, they will get my vote.",1,1
"overwhelming they say ""no"" to betsy devos.",1,1
"as far away from thom thillis as possible, please.",1,1
"if a man were to rob jesus, jesus would offer him the shirt off his back as well.... what happened to that?",1,0
"the house needs to pass something now to work with the private sector, keep obama's pen and phone out, and let the issue have a temporary solution while the legistators put permanent resolutions in place..",1,0
but the zimmerman case does give me hope that it could possibly come out right for snowden also!,1,0
just go ahead and try to impeach the president.,1,1
hello bob can you hear us now?,1,0
"please vote no on devos, we all know she is unqualified.",1,1
it has to been done with a blend of all three rep. scott.,1,1
good for you sam.,1,0
your the man rand paul,1,1
"the way we're set up, you can't have a spending problem without a revenue problem.",1,0
"finally...... paul ryan, you did the right thing.",1,1
(you lying rino scumbag).,1,1
if it was a good program it wouldn't have to be enforced by the irs.,1,1
so true it makes you sad to see us going down this,1,0
remember we are just days away from the return of jesus christ.,1,0
i believe if the these are released then it is more lies to hide the real truth,1,0
i am very disappointed in your vote to confirm betsy devos as secretary of education.,1,0
you should have been this forceful months ago.,1,0
"i think you have that wrong, mr. mcclintock.",1,1
please.... please.... reject the nomination of betsy devos for the dept.,1,1
"i will be surprised if it is (as well as suspicious as every county in oklahoma goes red, from what i have seen recently, every year.)",1,1
he is upholding the oath he took to uphold our constitution and keep the american people and america safe!,1,1
"i thought i would vote for you, but then i heard you had hurt our north carolina teachers by suspending pay raises.",1,0
we should stay out of syria we do not need to get involved we have enough problems we do not need any more.,1,1
run marco and make a difference.,1,1
"fbi director comey's team took just 9 days to clear through 650,000 emails.",1,0
he is so much like ronald reagan.,1,1
"by the way, for those who site lower wages here in south carolina, rtw states have higher incomes, but they also have a higher cost of living.",1,0
every union in america is against the conservative agenda.,1,1
so are we supporting a president that wants to stop illegal immigration or some one who supports it,1,1
"for those who testified that there was no stand down orders, why then wasn't there forces sent?",1,1
he owes it to the american people.,1,0
congressman tom mcclintock - are you trusting the government to provide you with a healthcare plan?,1,1
you are a fresh of breath air and my husband i are praying for you and your family........ as well as all of our leaders.,1,0
"as a product of public education, i do not support devos.",1,0
mccain has trumps taxes and he has tapes of trump talking to putin.,1,1
i will no longer visit sc because of your little whiny attitude.,1,1
even if they have proof of innocence they wont file nothing!,1,1
"and, as the washington post reports, ""a gun control advocate who met with senator isakson today tells me that he said he is open to voting for manchin-toomey if and when it comes up again - and that he is in active talks with senator joe manchin about the measure.""",1,0
mia love for veep!!!!,1,1
"i do not have insurance, and still don't agree with obamacare.",1,1
i don't live your state ms. mia but i follow you on line and i hope that you can help stop this amnesty bill...... i am on disability and i worked since i was 14 yrs.,1,0
"without you and mr. chambliss, we here in georgia have no platform, no one to stand up for us, no voice in washington.",1,1
no obamacare don't fund it.,1,1
"praying for you all... praying for our country.. god speed, rep. brady.",1,0
i guess it is getting close to re-election time so it's time for you to change your spots and act like a conservative.,1,1
i'm praying that you start listening to the people.,1,0
if we don't coal jobs won't matter to kentucky or any where else when we continue to kill our planet!,1,0
you or devos.,1,1
"that is what rand paul filibustered for, the rights of american citizens.",1,1
where's the referral from trey gowdy to the fbi for purjery?,1,1
come on conservatives are supposed to vote in favor of the birther bill.,1,1
mia america hates what washington has become.,1,1
you're one of the 2 republicans that didn't vote for devos.,1,1
just one more spineless punk republicrat rino.,1,1
"[washington, d.c.] yet another scandal is rocking the political future of u.s. senator marco rubio long considered a contender for the republican vice presidential nomination.",1,1
oooppss some one better tell barry,1,1
we want them out of washington and out of out government immediately.,1,1
and how about stopping some of the wasted welfare aid inside our own country?????????????????????????????,1,1
"we the people need not only to focus on this presidential race but we have to clear the congress and senate of unrepresentative, biased and gridlock republicans like mcconnell.",1,1
actually you can have both you can be free and secure in jesus!,1,0
why does v c,1,0
congratulations senator mcconnell.,1,1
i don't pray for tyrants!,1,1
"read all these posts and see what the people think of you, you rotten traitor",1,1
check out liberty first pac.,1,1
politicians like you are why north carolina has plummeted in public education.,1,0
"at worst, this has severely emboldened our enemies against us and put the citizens of our country in an exponentially greater level of grave danger!",1,1
why can't our government do this instead of wanting the tax payers to give more and more?,1,1
i saw where tim scott is donating his to charity.,1,1
here are the 14 gop senators who voted for the massive immigration bill legislation: keep them in mind when it's time to vote them back in.,1,1
"this bill won't get hardly a peep from the media, especially compared to the nsa, obamacare, benghazi, the debt limit.",1,0
the epa is out of control!,1,1
i would never vote for rand paul since he thinks its okay for us to deal with cuba.,1,0
the patriot act needs to die.,1,0
"trey, you and rand paul and marco rubio need to get behind ted cruz and help him win the presidency.",1,1
"if you stand firm enough in your convictions to say that ""yes, i would expect my daughter to have to carry that child to term, regardless of the emotional destruction it would cause to her"" then i might have respect for you and your fight.",1,0
senator: it is time you support the presumptive republican nominee donald trump.,1,1
rinos are part of the democratic party aka the establishment.,1,1
mr. flake how can you be proud of being part of helping to pass such a bill?,1,1
"so much for the us being a ""christian"" nation!",1,0
i am sure bush didn't let congress know for each and every terrorist he let go!!,1,1
"bush was a small problem, obama is a huge one!!",1,1
the threat the house used to repeal was to shut down obamacare was ignored.,1,0
we need to stop giving our hard earned funds away to people who hate us and would we glad to destroy us!,1,1
"i am so sorry with what has happened here, and i am praying for god's comfort for the families and for all the people that live there.... god bless you all....",1,0
impeach obama--he is a traitor.,1,1
"it is up to ""we the people"" to take law and order in our own hands!",1,1
"you listened to your constituents and voted for new leadership to lead the gop-controlled congress, and i know that this was the first time in over 100 years that a speaker of the house faced such a large opposition.",1,1
"senator rubio, i hope you are lacing up your sneakers right now for 2016. i want to work for your campaign here in orlando.",1,1
i was so excited to see you serving oklahoma even though i don't live in the state anymore.,1,0
"fir a lot less, nixon was and there were no deaths.",1,1
"rand, you need to be the first to publicly call for john boehner's resignation.",1,1
"until this is realized, the republican party is stuck in the same boat.",1,1
no cell phones for any welfare,1,1
ryan's own church (and yours) declared the budget he wants passed as immoral.,1,1
john boehner has led the party of no.,1,1
how can i send senator mccain a message?,1,0
obama needs to get a grip and open his eyes.,1,0
veterans don't even like mccain.,1,1
why didn't you answer luke rudkowski when he asked you a simple question!,1,1
thank god for the leadership trey gowdy provides!,1,1
a reading of the constitution is great.,1,0
this goes to the top and obama told them to stand down... i would bet my bottom dollar on it... and he needs to be impeached now not in 2014,1,1
"just a little too late, dont ya think??",1,0
mitch mcconnell is a disgrace.,1,0
"rand, ted may need a stand in for a few hours hope your up to the task.",1,1
"i would also like to bring our troops and equipment home from afghanistan and quit spending millions on the restoration of that country when the president of afghanistan is making ultimatums about iasf ""occupying"" their country.",1,1
"once he gets us disarmed, there will be nothing to stop him.",1,1
"please, you and senator graham must take action.",1,1
"regards, c.",1,0
i truly loved your father rand and was sorry to see him retire from the floor.,1,0
no refund?,1,1
you had a choice to stand up to obama and you let us all down.,1,1
only the good ol boys and girls are left to defend america,1,1
vote to impeach the traitor / imposter currently residing in our white house.,1,1
this administration is not the answer.,1,0
never liked fox news,1,1
if we have learned nothing these last few weeks is that conservatives can get anything they want if they are willing to take the economy into the toilet.,1,1
the only thing bigger than the big government he wants to saddle us with is his big ego!,1,1
republicans need to stand up to the president and not be bullied!!,1,1
pray for dr. carson!,1,0
-sean hannity,1,1
"mr rubio is a great leader, as is mr romney.",1,1
i love ted cruz and his ability to tell it like it is.,1,1
those man fought for freedom the same freedom this government is taking away from us little by little.,1,0
mccain is an embarrassment.,1,1
he says it is a common practice.,1,0
"hang in there senator rand, america needs you.",1,1
time for the government to put term limits on the house and senate.,1,1
we need to stick to our principles and hold the line.,1,1
americans need to pray without ceasing that common sense and moral character will be restored to this country.,1,0
vote no on cloture - vote no on cloture = vote no on cloture!,1,1
"he attributed this disturbing revelation to the anti-gun policies of the obama administration: ""this lawless administration has broken that law and retained that information.""",1,1
we need people like you... rand paul for president 2016,1,1
the people aren't free in cuba but man of usa: s closest arab allies are far more worse.,1,0
"because mr. mcconnell himself said that ""this is the view of virtually every republican on that subject.""",1,1
"wish the politicians would stand up to him and do what is best for the country, not their own pockets.",1,0
when is obama going to be impeached????,1,1
"i can't stand obama, but let's get real - he cut taxes for most of the people posting here.",1,0
we don't have a spending problem!,1,1
you should be brought up on charges of treason along with the rest of the gop!,1,1
this flag had nothing to do with the shootings.,1,0
you have nothing to replace it with.,1,0
go get em bruce!,1,1
something like that greg.,1,0
so why not just start impeachment proceedings now so we can eliminate the continuing cause of the spending... and get down to fixing the problem.... oblowzo is like putting a bandaid on a severed artery!!,1,1
i know that congress will never impeach him.,1,1
"if you vote for cruz, you're saying that it's ok to say one thing and do another.",1,1
a question to staffer / congressman... what is the congressman's position on the recent hearing in federal court concerning the shawnee national forest plan?,1,0
we have to stop him before his cronies disband the congress and senate.,1,1
"""the polar bear"" attacks alden p wrote: i wouldn't say obama's a mutt (called himself), but in fact and by definition he is mulatto.",1,0
thanks for following through with your campaign promise to restore liberty and freedom by trimming the government and defunding aca.,1,1
close the borders....... let's fix our country before we try fixing other countries!,1,1
just keep thinking that way mia.,1,0
praying doesnt stop these terrorist attacks,1,1
"never give up the fight, congressman ted yoho.",1,1
please shut nsa down - arrest them for illegal activities against the taxpayers of the usa!,1,0
lindsey much prayer is going for israel... god help us all...,1,1
"with the events in egypt and the middle east forever changing our world, we need a strong leader and well respected man for our next president.",1,1
your supposed to be working for the american people not self-serving and for illegals!,1,1
i expected you represent the people of north carolina in the way you voted.,1,0
the republican party has been just as elusive to truth as the democrats.,1,0
the republican party should have gotten behind kasich.,1,1
the guy who forgets that he represents a conservative utah as soon as his plane lands in dc?,1,1
the memorial service is a much higher priority and is understood by us in utah.,1,0
"mr. coffman please keep up the good fight, and don't let the ""slaughter maneuver"" slaughter our economy, and this country.",1,1
so stop blaming obama for things that he did not cause.,1,0
fred miller,1,0
i highly doubt you will be able to accomplish anything in congress unless you first find a way to control the jerk with the executive orders.,1,1
"thanks mike for standing up for our 2nd amendment rights... intelligent common sense people get it... gun control has never worked, look at chicago and d.c.... the only answer is punish criminals, don't let them go on a technicality.",1,1
it seems you are all selling us out and bent on destroying our great nation.,1,1
lying established republican government establishment.,1,1
"bring jobs for what is taken like food stamps, ect.",1,1
the current president signed an executive order for which there was no actual plan in place for how to implement it.,1,0
harry and boehner talked and harry accepted 70 billion in cuts in this cr that the dems didn't want with the understanding that boehner would bring a clean cr to a vote in the house.,1,1
no one believes a word you say paul!!,1,1
not going to get this from our current admin.,1,1
please stand firm in congress to stand this mistake down.,1,1
"i hope to hell all you milquetoast, spineless so-called conservatives don't regret being so stingy in your support.",1,1
i've been in favor of the flat tax for many years,1,1
hoping congress can change this veto,1,0
